CBSA_ID,CBSA_Name_BRFSS,PercentAsthma,PercentObese,PercentBingeDrink,PercentCOPD,PercentCoronaryHeartDisease,PercentCurrentSmoker,PercentDepression,PercentDiabetes,PercentDifficultyErrandsAlone,PercentFluShot,PercentHealthCoverage,PercentOtherCancer,PercentSeatbeltUse,PercentSkinCancer,PercentStroke,PercentTooExpensiveToSeeDoctor,CBSA_Name,FIPS_ID,FIPS_Name
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13135,"Gwinnett, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13143,"Haralson, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13149,"Heard, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13151,"Henry, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13159,"Jasper, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13171,"Lamar, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13199,"Meriwether, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13211,"Morgan, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13217,"Newton, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13223,"Paulding, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13227,"Pickens, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13231,"Pike, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13247,"Rockdale, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13255,"Spalding, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13297,"Walton, GA"
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",7.76,37.55,13.43,7.57,6.03,16.74,21.97,13.45,8.51,58.94,85.46,6.83,96.49,7.07,3.89,11.51,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",13033,"Burke, GA"
