CBSA_ID,CBSA_Name_BRFSS,PercentAsthma,PercentObese,PercentBingeDrink,PercentCOPD,PercentCoronaryHeartDisease,PercentCurrentSmoker,PercentDepression,PercentDiabetes,PercentDifficultyErrandsAlone,PercentFluShot,PercentHealthCoverage,PercentOtherCancer,PercentSeatbeltUse,PercentSkinCancer,PercentStroke,PercentTooExpensiveToSeeDoctor
23540,"Gainesville, FL Metropolitan Statistical Area",6.4,30.81,15.06,3.87,3.98,13.01,21.03,11.78,4.59,62.66,84.73,3.9,94.13,8.2,,14.71
24220,"Grand Forks, ND-MN Metropolitan Statistical Area",6.88,35.19,25.09,5.89,5.85,14.04,20.4,8.12,5.74,68.24,94.07,7.74,92.65,3.14,3.31,9.22
24260,"Grand Island, NE Metropolitan Statistical Area",6.32,36.63,14.99,5.7,4.97,16.08,19.66,11.24,6.77,70.38,84.23,7.64,87.29,6.77,3.35,15.29
24340,"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",10.01,32.29,19.88,6.77,2.69,14.49,24.96,10.03,7.24,58.75,91.93,5.52,94.49,6.42,3.68,11.93
24860,"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",9.94,31.85,12.6,7.73,5.22,17.62,19.76,11.58,7.88,60.75,85.07,6.86,96.05,7.03,3.18,13.95
25180,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",14.43,37.67,15.15,11.31,4.69,21.06,21.72,14.33,7.44,66.82,91.14,8.38,93.04,6.61,3.97,10.09
25540,"Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area",11.35,27.03,13.99,5.36,3.39,11.04,18.38,9.71,6.07,62.68,92.83,6.74,95.57,5.85,2.34,9.99
25940,"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area",5.34,25.11,18.85,6.03,4.07,13.28,16.06,10.04,4.0,71.37,86.2,9.24,95.93,10.75,3.03,16.1
26420,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",5.91,30.97,18.79,3.99,3.51,15.07,16.05,10.03,8.07,63.23,70.97,4.86,95.83,3.86,3.72,21.51
26580,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",14.96,38.47,10.12,16.53,7.78,24.25,27.96,14.17,12.89,68.86,93.29,8.96,93.79,6.41,5.28,10.7
26900,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",9.98,31.95,17.13,7.24,4.17,19.37,22.57,11.78,7.57,59.13,90.25,6.85,93.79,6.57,3.39,12.25
27140,"Jackson, MS Metropolitan Statistical Area",6.88,35.21,12.83,5.66,4.51,15.8,17.59,13.34,9.33,57.56,82.33,6.9,97.09,4.73,3.01,15.7
27260,"Jacksonville, FL Metropolitan Statistical Area",12.73,33.21,17.34,11.27,5.47,18.41,22.53,12.74,9.87,65.3,88.44,7.38,95.29,8.75,2.93,16.59
27980,"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",10.92,23.35,20.62,3.55,3.44,12.04,12.43,10.82,5.38,51.94,92.2,7.29,97.14,6.6,1.88,7.34
28140,"Kansas City, MO-KS Metropolitan Statistical Area",8.49,31.16,20.68,5.98,3.81,17.05,20.45,9.65,6.45,60.57,87.51,6.38,94.86,6.99,3.38,12.18
28700,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",14.69,29.81,9.79,17.28,7.05,31.66,29.69,16.86,11.34,52.07,83.62,9.45,92.03,9.29,4.85,14.78
