FIPS,Accommodation and food services,Administrative and support and waste management and remediation services,"Agriculture, forestry, fishing and hunting","Arts, entertainment, and recreation",Construction,Educational services,Finance and insurance,Health care and social assistance,Industries not classified,Information,Management of companies and enterprises,"Mining, quarrying, and oil and gas extraction",Other services (except public administration),"Professional, scientific, and technical services",Real estate and rental and leasing,Utilities,Wholesale trade
01027,0.035652173913043476,0.005797101449275362,0.015942028985507246,,0.015072463768115942,,0.02753623188405797,0.16057971014492753,,0.0055072463768115944,,,0.035072463768115944,0.014492753623188406,0.0055072463768115944,0.0,
01029,0.0807489760093622,0.049151550614394385,0.012873025160912814,,0.32767700409596257,,0.02984201287302516,0.03393797542422469,,,,,0.0684610883557636,0.007021650087770626,0.0052662375658279695,,0.01930953774136922
01031,0.12580355808043056,0.02930183883988638,0.002915233966213186,0.007923456420989685,0.02982508596202721,0.0,0.03617880101659441,0.1426969651666916,,0.008446703543130513,,,0.05419345193601435,0.05568844371355958,0.011810435042607266,0.002989983555090447,0.03318881746150396
01033,0.08461604609166738,0.1388769455671167,0.0006019434173187721,0.006320405881847106,0.05146616218075501,0.001934818127096053,0.029452231490239917,0.11703499871012125,,0.004944535213689913,0.0011178949178777195,0.0048155473385501765,0.042351019004213605,0.012081864304755352,0.004772551380170264,,0.0374494797489036
01035,0.12996941896024464,0.006498470948012232,0.05542813455657492,0.002675840978593272,0.022553516819571864,,0.019877675840978593,0.18463302752293578,,0.005733944954128441,,,0.02102446483180428,0.007262996941896025,0.00191131498470948,,0.10703363914373089
01037,0.0,0.0028957528957528956,0.07818532818532818,,0.02895752895752896,,0.013513513513513514,0.0,,,,,0.037644787644787646,0.021235521235521235,0.0,,0.021235521235521235
01039,0.084922840985335,0.045816160260711204,0.005175884213553149,0.005559283044186715,0.04447426435349372,,0.03278060001916994,0.15681012172912873,,0.010255918719447905,,,0.05070449535128918,0.02741301639030001,0.008914022812230422,0.0,0.04782900412153743
01041,0.05355465079862198,0.004697776385844034,0.035076730347635456,,0.03632947071719386,,0.032571249608518635,0.1406201064829314,,,,,0.028813028499843407,0.010021922956467273,0.0034450360162856246,,0.19135609145004698
01043,0.11516664685134546,0.03816430864344311,0.004874569016763762,0.004795307731938335,0.04299924701779416,0.003883802956445924,0.033250108984266634,0.1639519676613958,,0.008560218761146118,0.010739904093845362,,0.052669123766496254,0.01660523917092696,0.007054254349463005,0.00531050608330361,0.043712598581223
01045,0.09923804277976682,0.01707518589920132,0.007160561828697329,0.0017442394198108877,0.055264848985587076,0.014688331956302212,0.03662902781602864,0.14155879922886258,,0.0023868539428991095,0.0,,0.04204535022491508,0.07582851372441017,0.015881758927751767,0.007894978426512439,0.016065363077205543
01047,0.08389662027833002,0.0621272365805169,0.005268389662027833,0.0045725646123260435,0.04433399602385686,0.017296222664015905,0.030815109343936383,0.17673956262425447,,0.00974155069582505,,,0.06958250497017893,0.024552683896620277,0.007654075546719682,0.006063618290258449,0.020278330019880716
01049,0.08919576659686457,0.04414511290961571,0.001584696360858,0.004923877978380214,0.028750919689852283,0.004301318693757428,0.023261078725451356,0.14664100967796706,,0.011602241213424642,0.0010187333748372857,,0.022298941649216142,0.018224008149866997,0.008998811477729357,,0.03899484973682721
01051,0.1937190531099505,0.012616156820185851,0.003594926405751882,0.005561961608899138,0.051007257681611615,0.021366072034185717,0.03289696805263515,0.1500373058400597,,0.005765448009224717,0.000881774401410839,,0.06355558570168894,0.031065590449704944,0.008410771213457234,0.007393339211829343,0.022180017635488027
01053,0.21189773844641102,0.014454277286135693,0.018584070796460177,0.009537856440511307,0.03461160275319567,,0.040609636184857426,0.12369714847590954,,0.010127826941986233,0.004523107177974435,0.02743362831858407,0.044444444444444446,0.01710914454277286,0.006784660766961652,0.007866273352999017,0.016519174041297935
01055,0.12406874918311332,0.052934256959874526,0.0003267546725918181,0.009671938308717815,0.03499542543458371,0.007253953731538361,0.033786433145993985,0.24398771402431055,,0.009443210037903542,0.00271206378251209,,0.05250947588550516,0.021565808391059992,0.007548032936870997,0.0048359691543589075,0.03159717683962881
01057,0.08414239482200647,,0.040453074433656956,,0.02394822006472492,,0.025889967637540454,0.22168284789644013,,0.011003236245954692,,0.028802588996763755,0.038834951456310676,0.01197411003236246,0.005501618122977346,,0.006472491909385114
01059,0.06419400855920114,0.0,0.006276747503566334,0.0016167379933428436,0.023965763195435093,,0.03737517831669044,0.10071326676176891,,0.004184498335710889,0.006276747503566334,0.004089396100808369,0.024251069900142655,0.012173086067522586,0.0035187826913932476,0.0,0.008464098906324298
01061,0.07311258278145695,0.025695364238410595,,,0.041589403973509936,,0.03708609271523179,0.152317880794702,,0.0,,,0.0352317880794702,0.02543046357615894,0.005033112582781457,0.0,0.11390728476821192
01063,0.03423566878980892,,0.01592356687898089,0.0,0.035828025477707005,,0.03423566878980892,0.2197452229299363,,0.004777070063694267,,,0.028662420382165606,0.005573248407643312,,,
01065,0.07808433107756377,0.0052056220718375845,0.0400832899531494,,0.09005726184279021,,0.03331598125976054,0.22748568453930246,,0.009370119729307652,,,0.029151483602290473,0.012493492972410203,0.003643935450286309,,0.015096304008328995
01067,0.0812829525483304,0.029876977152899824,0.11203866432337434,0.0,0.04745166959578207,,0.043936731107205626,0.07073813708260106,,0.0,0.01625659050966608,,0.0804042179261863,0.061511423550087874,0.0021968365553602814,0.0,0.06063268892794376
01069,0.11530131511376068,0.05336369928773975,0.00035724652242838324,0.009846607274432312,0.038493312791658296,0.009444704936700382,0.02643624265970036,0.2150624065018867,,0.018331212182106416,0.011588184071270682,,0.045794538593788375,0.025230535646504567,0.01067273985754795,0.0,0.07591488601603144
